date,season,is_weekend,is_holiday,weather,temp_celsius,humidity_pct,scooty_demand,bike_demand,car_demand,total_demand,avg_revenue_inr
2025-02-07,Spring,0,0,Clear,24.2,39,138,106,41,285,184100
2025-02-08,Spring,1,0,Clear,25.0,38,205,168,74,447,303500
2025-02-09,Spring,1,0,Clear,25.3,37,212,174,78,464,315200
2025-02-10,Spring,0,0,Clear,23.9,41,122,93,34,249,159600
2025-02-11,Spring,0,0,Clear,24.1,40,125,96,35,256,164100
2025-02-12,Spring,0,0,Clear,24.5,39,128,99,36,263,168600
2025-02-13,Spring,0,0,Clear,24.8,38,135,105,39,279,179800
2025-02-14,Spring,0,1,Clear,25.5,37,184,148,68,400,272400
2025-02-15,Spring,1,0,Clear,25.8,36,218,180,82,480,327600
2025-02-16,Spring,1,0,Clear,26.1,35,225,186,85,496,338900
2025-02-17,Spring,0,0,Clear,24.6,39,124,95,35,254,162800
2025-02-18,Spring,0,0,Clear,24.9,38,127,98,36,261,167300
2025-02-19,Spring,0,0,Clear,25.2,37,130,101,37,268,171900
2025-02-20,Spring,0,0,Clear,25.5,36,133,104,38,275,176400
2025-02-21,Spring,0,0,PartlyCloudy,24.8,42,136,105,40,281,181200
2025-02-22,Spring,1,0,Clear,26.4,36,215,176,80,471,321400
2025-02-23,Spring,1,0,Clear,26.8,35,222,183,83,488,333500
2025-02-24,Spring,0,0,Clear,25.3,38,125,97,35,257,164900
2025-02-25,Spring,0,0,Clear,25.6,37,128,100,36,264,169500
2025-02-26,Spring,0,0,PartlyCloudy,25.0,43,124,96,36,256,165200
2025-02-27,Spring,0,0,Rain,22.1,75,72,46,55,173,134200
2025-02-28,Spring,0,0,PartlyCloudy,23.5,62,112,84,33,229,148200
2025-03-01,Summer,1,0,Clear,27.5,34,228,188,86,502,343800
2025-03-02,Summer,1,0,Clear,28.0,33,235,195,90,520,356400
2025-03-03,Summer,0,0,Clear,26.5,36,132,103,38,273,175800
2025-03-04,Summer,0,0,Clear,26.8,35,135,106,39,280,180400
2025-03-05,Summer,0,0,Clear,27.2,34,138,109,40,287,185000
2025-03-06,Summer,0,0,Clear,27.5,33,142,112,42,296,191200
2025-03-07,Summer,0,0,Clear,28.1,32,155,123,48,326,211800
2025-03-08,Summer,1,0,Clear,29.0,30,242,202,94,538,369400
2025-03-09,Summer,1,0,Clear,29.4,29,250,210,98,558,383500
2025-03-10,Summer,0,0,Clear,27.8,33,136,107,40,283,182900
2025-03-11,Summer,0,0,Clear,28.2,32,140,110,41,291,188200
2025-03-12,Summer,0,0,Clear,28.6,31,144,114,43,301,194800
2025-03-13,Summer,0,0,Clear,29.0,30,152,120,46,318,206400
2025-03-14,Summer,0,1,Clear,29.8,29,235,196,92,523,361200
2025-03-15,Summer,1,0,Clear,30.2,28,258,218,102,578,397900
2025-03-16,Summer,1,0,Clear,30.5,27,265,225,106,596,410700
2025-03-17,Summer,0,0,Clear,28.9,31,141,111,42,294,190200
2025-03-18,Summer,0,0,Clear,29.3,30,145,115,44,304,196900
2025-03-19,Summer,0,0,Clear,29.7,29,149,118,45,312,202200
2025-03-20,Summer,0,0,Clear,30.1,28,153,122,47,322,208900
2025-03-21,Summer,0,0,PartlyCloudy,29.4,35,158,125,49,332,216100
2025-03-22,Summer,1,0,Clear,30.8,27,255,214,100,569,391200
2025-03-23,Summer,1,0,Clear,31.2,26,262,221,104,587,404100
2025-03-24,Summer,0,0,Clear,29.5,30,143,113,43,299,193800
2025-03-25,Summer,0,0,Clear,29.9,29,147,117,45,309,200500
2025-03-26,Summer,0,0,PartlyCloudy,29.2,36,145,114,44,303,197100
2025-03-27,Summer,0,0,Clear,30.3,28,154,123,48,325,211200
2025-03-28,Summer,0,0,Clear,30.7,27,168,136,54,358,233800
2025-03-29,Summer,1,0,Clear,31.5,25,270,230,110,610,421000
2025-03-30,Summer,1,0,Clear,31.9,24,278,238,115,631,436200
2025-03-31,Summer,0,1,Clear,30.6,27,240,202,96,538,372400
